NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                               MESSAGE
kube-system   15m         Normal    TaintManagerEviction      pod/metrics-server-fdb7f6596-dzkgl   Cancelling deletion of Pod kube-system/metrics-server-fdb7f6596-dzkgl
kube-system   15m         Normal    Created                   pod/coredns-5f779c8467-qjnnf         Container created
kube-system   15m         Normal    Pulled                    pod/metrics-server-fdb7f6596-dzkgl   Container image "rancher/mirrored-metrics-server:v0.8.1" already present on machine and can be accessed by the pod
kube-system   15m         Normal    Pulled                    pod/coredns-5f779c8467-qjnnf         Container image "rancher/mirrored-coredns-coredns:1.14.3" already present on machine and can be accessed by the pod
kube-system   15m         Normal    Pulled                    pod/svclb-traefik-405c6267-827kb     Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
kube-system   15m         Normal    Created                   pod/svclb-traefik-405c6267-827kb     Container created
kube-system   15m         Normal    Started                   pod/svclb-traefik-405c6267-827kb     Container started
kube-system   15m         Normal    Pulled                    pod/svclb-traefik-405c6267-827kb     Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
kube-system   15m         Normal    Created                   pod/svclb-traefik-405c6267-827kb     Container created
kube-system   15m         Normal    Started                   pod/svclb-traefik-405c6267-827kb     Container started
kube-system   15m         Normal    Started                   pod/metrics-server-fdb7f6596-dzkgl   Container started
kube-system   15m         Normal    Created                   pod/metrics-server-fdb7f6596-dzkgl   Container created
kube-system   15m         Normal    Started                   pod/coredns-5f779c8467-qjnnf         Container started
kube-system   14m         Warning   Unhealthy                 pod/metrics-server-fdb7f6596-dzkgl   Readiness probe failed: HTTP probe failed with statuscode: 500
kube-system   15m         Normal    UpdatedLoadBalancer       service/traefik                      Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133]
kube-system   7m24s       Normal    UpdatedLoadBalancer       service/traefik                      Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133]
testapp       19s         Warning   NodeNotReady              pod/nginx-test-54db47f9bb-jnrwm      Node is not ready
kube-system   19s         Warning   NodeNotReady              pod/svclb-traefik-405c6267-kxgqx     Node is not ready
default       19s         Normal    NodeNotReady              node/k3s-w2                          Node k3s-w2 status is now: NodeNotReady
kube-system   19s         Normal    UpdatedLoadBalancer       service/traefik                      Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132]
kube-system   9m4s        Warning   NodeNotReady              pod/traefik-5878496467-rxrq9         Node is not ready
default       <invalid>   Normal    Starting                  node/k3s-w2                          
default       <invalid>   Normal    CertificateExpirationOK   node/k3s-w2                          Node and Certificate Authority certificates managed by k3s are OK
default       <invalid>   Normal    NodeAllocatableEnforced   node/k3s-w2                          Updated Node Allocatable limit across pods
default       <invalid>   Normal    Starting                  node/k3s-w2                          Starting kubelet.
default       <invalid>   Warning   Rebooted                  node/k3s-w2                          Node k3s-w2 has been rebooted, boot id: e7a23070-7994-4191-a812-f12c7f7568f4
default       6m24s       Normal    NodeHasSufficientMemory   node/k3s-w2                          Node k3s-w2 status is now: NodeHasSufficientMemory
default       6m24s       Normal    NodeHasNoDiskPressure     node/k3s-w2                          Node k3s-w2 status is now: NodeHasNoDiskPressure
default       6m24s       Normal    NodeHasSufficientPID      node/k3s-w2                          Node k3s-w2 status is now: NodeHasSufficientPID
default       6m24s       Normal    NodeReady                 node/k3s-w2                          Node k3s-w2 status is now: NodeReady
kube-system   <invalid>   Normal    Created                   pod/svclb-traefik-405c6267-kxgqx     Container created
kube-system   <invalid>   Normal    Created                   pod/svclb-traefik-405c6267-kxgqx     Container created
kube-system   <invalid>   Normal    SandboxChanged            pod/svclb-traefik-405c6267-kxgqx     Pod sandbox changed, it will be killed and re-created.
kube-system   <invalid>   Normal    Pulled                    pod/svclb-traefik-405c6267-kxgqx     Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
kube-system   <invalid>   Normal    Started                   pod/svclb-traefik-405c6267-kxgqx     Container started
kube-system   <invalid>   Normal    Pulled                    pod/svclb-traefik-405c6267-kxgqx     Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
kube-system   <invalid>   Normal    Started                   pod/svclb-traefik-405c6267-kxgqx     Container started
kube-system   70s         Normal    UpdatedLoadBalancer       service/traefik                      Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132]
testapp       9s          Normal    TaintManagerEviction      pod/nginx-test-54db47f9bb-jnrwm      Cancelling deletion of Pod testapp/nginx-test-54db47f9bb-jnrwm
kube-system   9s          Normal    TaintManagerEviction      pod/traefik-5878496467-rxrq9         Cancelling deletion of Pod kube-system/traefik-5878496467-rxrq9
kube-system   <invalid>   Normal    Pulled                    pod/traefik-5878496467-rxrq9         Container image "rancher/mirrored-library-traefik:3.6.13" already present on machine and can be accessed by the pod
kube-system   12s         Normal    UpdatedLoadBalancer       service/traefik                      Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133]
kube-system   <invalid>   Normal    Started                   pod/traefik-5878496467-rxrq9         Container started
testapp       <invalid>   Normal    Started                   pod/nginx-test-54db47f9bb-jnrwm      Container started
testapp       <invalid>   Normal    Created                   pod/nginx-test-54db47f9bb-jnrwm      Container created
kube-system   <invalid>   Normal    SandboxChanged            pod/traefik-5878496467-rxrq9         Pod sandbox changed, it will be killed and re-created.
testapp       <invalid>   Normal    Pulled                    pod/nginx-test-54db47f9bb-jnrwm      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       <invalid>   Normal    SandboxChanged            pod/nginx-test-54db47f9bb-jnrwm      Pod sandbox changed, it will be killed and re-created.
kube-system   <invalid>   Normal    Created                   pod/traefik-5878496467-rxrq9         Container created
default       <invalid>   Normal    CertificateExpirationOK   node/k3s-w2                          Node and Certificate Authority certificates managed by k3s are OK
default       <invalid>   Normal    Starting                  node/k3s-w2                          
default       11s         Normal    NodeHasSufficientPID      node/k3s-w2                          Node k3s-w2 status is now: NodeHasSufficientPID
default       11s         Normal    NodeHasNoDiskPressure     node/k3s-w2                          Node k3s-w2 status is now: NodeHasNoDiskPressure
default       11s         Normal    NodeHasSufficientMemory   node/k3s-w2                          Node k3s-w2 status is now: NodeHasSufficientMemory
default       <invalid>   Warning   Rebooted                  node/k3s-w2                          Node k3s-w2 has been rebooted, boot id: 28d605af-a856-4632-9429-c382c6a2be69
default       <invalid>   Normal    NodeAllocatableEnforced   node/k3s-w2                          Updated Node Allocatable limit across pods
default       <invalid>   Normal    Starting                  node/k3s-w2                          Starting kubelet.
default       11s         Normal    NodeReady                 node/k3s-w2                          Node k3s-w2 status is now: NodeReady
kube-system   <invalid>   Normal    Created                   pod/svclb-traefik-405c6267-kxgqx     Container created
testapp       <invalid>   Normal    Created                   pod/nginx-test-54db47f9bb-jnrwm      Container created
testapp       <invalid>   Normal    Started                   pod/nginx-test-54db47f9bb-jnrwm      Container started
testapp       <invalid>   Normal    Pulled                    pod/nginx-test-54db47f9bb-jnrwm      Container image "nginx:stable" already present on machine and can be accessed by the pod
kube-system   <invalid>   Normal    Pulled                    pod/traefik-5878496467-rxrq9         Container image "rancher/mirrored-library-traefik:3.6.13" already present on machine and can be accessed by the pod
kube-system   <invalid>   Normal    SandboxChanged            pod/traefik-5878496467-rxrq9         Pod sandbox changed, it will be killed and re-created.
testapp       <invalid>   Normal    SandboxChanged            pod/nginx-test-54db47f9bb-jnrwm      Pod sandbox changed, it will be killed and re-created.
kube-system   <invalid>   Normal    Created                   pod/traefik-5878496467-rxrq9         Container created
kube-system   <invalid>   Normal    Started                   pod/traefik-5878496467-rxrq9         Container started
kube-system   <invalid>   Normal    SandboxChanged            pod/svclb-traefik-405c6267-kxgqx     Pod sandbox changed, it will be killed and re-created.
kube-system   <invalid>   Normal    Pulled                    pod/svclb-traefik-405c6267-kxgqx     Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
kube-system   <invalid>   Normal    Started                   pod/svclb-traefik-405c6267-kxgqx     Container started
kube-system   <invalid>   Normal    Pulled                    pod/svclb-traefik-405c6267-kxgqx     Container image "rancher/klipper-lb:v0.4.17" already present on machine and can be accessed by the pod
kube-system   <invalid>   Normal    Created                   pod/svclb-traefik-405c6267-kxgqx     Container created
kube-system   <invalid>   Normal    Started                   pod/svclb-traefik-405c6267-kxgqx     Container started
