timestamp,node,status
2026-06-29T08:14:37+00:00,k3s-w2,Ready
2026-06-29T08:14:38+00:00,k3s-s1,Ready
2026-06-29T08:14:38+00:00,k3s-s2,Ready
2026-06-29T08:14:38+00:00,k3s-s3,Ready
2026-06-29T08:14:38+00:00,k3s-w1,Ready
2026-06-29T08:14:38+00:00,k3s-w2,Ready
2026-06-29T08:14:40+00:00,k3s-s1,Ready
2026-06-29T08:14:40+00:00,k3s-s2,Ready
2026-06-29T08:14:40+00:00,k3s-s3,Ready
2026-06-29T08:14:40+00:00,k3s-w1,Ready
2026-06-29T08:14:40+00:00,k3s-w2,Ready
2026-06-29T08:14:41+00:00,k3s-s1,Ready
2026-06-29T08:14:41+00:00,k3s-s2,Ready
2026-06-29T08:14:41+00:00,k3s-s3,Ready
2026-06-29T08:14:41+00:00,k3s-w1,NotReady
2026-06-29T08:14:41+00:00,k3s-w2,Ready
2026-06-29T08:14:42+00:00,k3s-s1,Ready
2026-06-29T08:14:42+00:00,k3s-s2,Ready
2026-06-29T08:14:42+00:00,k3s-s3,Ready
2026-06-29T08:14:42+00:00,k3s-w1,NotReady
2026-06-29T08:14:42+00:00,k3s-w2,Ready
2026-06-29T08:14:43+00:00,k3s-s1,Ready
2026-06-29T08:14:43+00:00,k3s-s2,Ready
2026-06-29T08:14:43+00:00,k3s-s3,Ready
2026-06-29T08:14:43+00:00,k3s-w1,NotReady
2026-06-29T08:14:43+00:00,k3s-w2,Ready
2026-06-29T08:14:44+00:00,k3s-s1,Ready
2026-06-29T08:14:44+00:00,k3s-s2,Ready
2026-06-29T08:14:44+00:00,k3s-s3,Ready
2026-06-29T08:14:44+00:00,k3s-w1,NotReady
2026-06-29T08:14:44+00:00,k3s-w2,Ready
2026-06-29T08:14:45+00:00,k3s-s1,Ready
2026-06-29T08:14:45+00:00,k3s-s2,Ready
2026-06-29T08:14:45+00:00,k3s-s3,Ready
2026-06-29T08:14:45+00:00,k3s-w1,NotReady
2026-06-29T08:14:45+00:00,k3s-w2,Ready
2026-06-29T08:14:46+00:00,k3s-s1,Ready
2026-06-29T08:14:46+00:00,k3s-s2,Ready
2026-06-29T08:14:46+00:00,k3s-s3,Ready
2026-06-29T08:14:46+00:00,k3s-w1,NotReady
2026-06-29T08:14:46+00:00,k3s-w2,Ready
2026-06-29T08:14:47+00:00,k3s-s1,Ready
2026-06-29T08:14:47+00:00,k3s-s2,Ready
2026-06-29T08:14:47+00:00,k3s-s3,Ready
2026-06-29T08:14:47+00:00,k3s-w1,NotReady
2026-06-29T08:14:47+00:00,k3s-w2,Ready
2026-06-29T08:14:48+00:00,k3s-s1,Ready
2026-06-29T08:14:48+00:00,k3s-s2,Ready
2026-06-29T08:14:48+00:00,k3s-s3,Ready
2026-06-29T08:14:48+00:00,k3s-w1,NotReady
2026-06-29T08:14:48+00:00,k3s-w2,Ready
2026-06-29T08:14:49+00:00,k3s-s1,Ready
2026-06-29T08:14:49+00:00,k3s-s2,Ready
2026-06-29T08:14:49+00:00,k3s-s3,Ready
2026-06-29T08:14:49+00:00,k3s-w1,NotReady
2026-06-29T08:14:49+00:00,k3s-w2,Ready
2026-06-29T08:14:50+00:00,k3s-s1,Ready
2026-06-29T08:14:50+00:00,k3s-s2,Ready
2026-06-29T08:14:50+00:00,k3s-s3,Ready
2026-06-29T08:14:50+00:00,k3s-w1,NotReady
2026-06-29T08:14:50+00:00,k3s-w2,Ready
2026-06-29T08:14:51+00:00,k3s-s1,Ready
2026-06-29T08:14:51+00:00,k3s-s2,Ready
2026-06-29T08:14:51+00:00,k3s-s3,Ready
2026-06-29T08:14:51+00:00,k3s-w1,NotReady
2026-06-29T08:14:51+00:00,k3s-w2,Ready
2026-06-29T08:14:52+00:00,k3s-s1,Ready
2026-06-29T08:14:52+00:00,k3s-s2,Ready
2026-06-29T08:14:52+00:00,k3s-s3,Ready
2026-06-29T08:14:52+00:00,k3s-w1,NotReady
2026-06-29T08:14:52+00:00,k3s-w2,Ready
2026-06-29T08:14:54+00:00,k3s-s1,Ready
2026-06-29T08:14:54+00:00,k3s-s2,Ready
2026-06-29T08:14:54+00:00,k3s-s3,Ready
2026-06-29T08:14:54+00:00,k3s-w1,NotReady
2026-06-29T08:14:54+00:00,k3s-w2,Ready
2026-06-29T08:14:55+00:00,k3s-s1,Ready
2026-06-29T08:14:55+00:00,k3s-s2,Ready
2026-06-29T08:14:55+00:00,k3s-s3,Ready
2026-06-29T08:14:55+00:00,k3s-w1,NotReady
2026-06-29T08:14:55+00:00,k3s-w2,Ready
2026-06-29T08:14:56+00:00,k3s-s1,Ready
2026-06-29T08:14:56+00:00,k3s-s2,Ready
2026-06-29T08:14:56+00:00,k3s-s3,Ready
2026-06-29T08:14:56+00:00,k3s-w1,NotReady
2026-06-29T08:14:56+00:00,k3s-w2,Ready
2026-06-29T08:14:57+00:00,k3s-s1,Ready
2026-06-29T08:14:57+00:00,k3s-s2,Ready
2026-06-29T08:14:57+00:00,k3s-s3,Ready
2026-06-29T08:14:57+00:00,k3s-w1,NotReady
2026-06-29T08:14:57+00:00,k3s-w2,Ready
2026-06-29T08:14:58+00:00,k3s-s1,Ready
2026-06-29T08:14:58+00:00,k3s-s2,Ready
2026-06-29T08:14:58+00:00,k3s-s3,Ready
2026-06-29T08:14:58+00:00,k3s-w1,NotReady
2026-06-29T08:14:58+00:00,k3s-w2,Ready
2026-06-29T08:14:59+00:00,k3s-s1,Ready
2026-06-29T08:14:59+00:00,k3s-s2,Ready
2026-06-29T08:14:59+00:00,k3s-s3,Ready
2026-06-29T08:14:59+00:00,k3s-w1,NotReady
2026-06-29T08:14:59+00:00,k3s-w2,Ready
2026-06-29T08:15:00+00:00,k3s-s1,Ready
2026-06-29T08:15:00+00:00,k3s-s2,Ready
2026-06-29T08:15:00+00:00,k3s-s3,Ready
2026-06-29T08:15:00+00:00,k3s-w1,NotReady
2026-06-29T08:15:00+00:00,k3s-w2,Ready
2026-06-29T08:15:01+00:00,k3s-s1,Ready
2026-06-29T08:15:01+00:00,k3s-s2,Ready
2026-06-29T08:15:01+00:00,k3s-s3,Ready
2026-06-29T08:15:01+00:00,k3s-w1,NotReady
2026-06-29T08:15:01+00:00,k3s-w2,Ready
2026-06-29T08:15:02+00:00,k3s-s1,Ready
2026-06-29T08:15:02+00:00,k3s-s2,Ready
2026-06-29T08:15:02+00:00,k3s-s3,Ready
2026-06-29T08:15:02+00:00,k3s-w1,NotReady
2026-06-29T08:15:02+00:00,k3s-w2,Ready
2026-06-29T08:15:03+00:00,k3s-s1,Ready
2026-06-29T08:15:03+00:00,k3s-s2,Ready
2026-06-29T08:15:03+00:00,k3s-s3,Ready
2026-06-29T08:15:03+00:00,k3s-w1,NotReady
2026-06-29T08:15:03+00:00,k3s-w2,Ready
2026-06-29T08:15:04+00:00,k3s-s1,Ready
2026-06-29T08:15:04+00:00,k3s-s2,Ready
2026-06-29T08:15:04+00:00,k3s-s3,Ready
2026-06-29T08:15:04+00:00,k3s-w1,NotReady
2026-06-29T08:15:04+00:00,k3s-w2,Ready
2026-06-29T08:15:05+00:00,k3s-s1,Ready
2026-06-29T08:15:05+00:00,k3s-s2,Ready
2026-06-29T08:15:05+00:00,k3s-s3,Ready
2026-06-29T08:15:05+00:00,k3s-w1,NotReady
2026-06-29T08:15:05+00:00,k3s-w2,Ready
2026-06-29T08:15:07+00:00,k3s-s1,Ready
2026-06-29T08:15:07+00:00,k3s-s2,Ready
2026-06-29T08:15:07+00:00,k3s-s3,Ready
2026-06-29T08:15:07+00:00,k3s-w1,NotReady
2026-06-29T08:15:07+00:00,k3s-w2,Ready
2026-06-29T08:15:08+00:00,k3s-s1,Ready
2026-06-29T08:15:08+00:00,k3s-s2,Ready
2026-06-29T08:15:08+00:00,k3s-s3,Ready
2026-06-29T08:15:08+00:00,k3s-w1,NotReady
2026-06-29T08:15:08+00:00,k3s-w2,Ready
2026-06-29T08:15:09+00:00,k3s-s1,Ready
2026-06-29T08:15:09+00:00,k3s-s2,Ready
2026-06-29T08:15:09+00:00,k3s-s3,Ready
2026-06-29T08:15:09+00:00,k3s-w1,NotReady
2026-06-29T08:15:09+00:00,k3s-w2,Ready
2026-06-29T08:15:10+00:00,k3s-s1,Ready
2026-06-29T08:15:10+00:00,k3s-s2,Ready
2026-06-29T08:15:10+00:00,k3s-s3,Ready
2026-06-29T08:15:10+00:00,k3s-w1,NotReady
2026-06-29T08:15:10+00:00,k3s-w2,Ready
2026-06-29T08:15:11+00:00,k3s-s1,Ready
2026-06-29T08:15:11+00:00,k3s-s2,Ready
2026-06-29T08:15:11+00:00,k3s-s3,Ready
2026-06-29T08:15:11+00:00,k3s-w1,NotReady
2026-06-29T08:15:11+00:00,k3s-w2,Ready
2026-06-29T08:15:12+00:00,k3s-s1,Ready
2026-06-29T08:15:12+00:00,k3s-s2,Ready
2026-06-29T08:15:12+00:00,k3s-s3,Ready
2026-06-29T08:15:12+00:00,k3s-w1,NotReady
2026-06-29T08:15:12+00:00,k3s-w2,Ready
2026-06-29T08:15:13+00:00,k3s-s1,Ready
2026-06-29T08:15:13+00:00,k3s-s2,Ready
2026-06-29T08:15:13+00:00,k3s-s3,Ready
2026-06-29T08:15:13+00:00,k3s-w1,NotReady
2026-06-29T08:15:13+00:00,k3s-w2,Ready
2026-06-29T08:15:14+00:00,k3s-s1,Ready
2026-06-29T08:15:14+00:00,k3s-s2,Ready
2026-06-29T08:15:14+00:00,k3s-s3,Ready
2026-06-29T08:15:14+00:00,k3s-w1,NotReady
2026-06-29T08:15:14+00:00,k3s-w2,Ready
2026-06-29T08:15:15+00:00,k3s-s1,Ready
2026-06-29T08:15:15+00:00,k3s-s2,Ready
2026-06-29T08:15:15+00:00,k3s-s3,Ready
2026-06-29T08:15:15+00:00,k3s-w1,NotReady
2026-06-29T08:15:15+00:00,k3s-w2,Ready
2026-06-29T08:15:16+00:00,k3s-s1,Ready
2026-06-29T08:15:16+00:00,k3s-s2,Ready
2026-06-29T08:15:16+00:00,k3s-s3,Ready
2026-06-29T08:15:16+00:00,k3s-w1,NotReady
2026-06-29T08:15:16+00:00,k3s-w2,Ready
2026-06-29T08:15:17+00:00,k3s-s1,Ready
2026-06-29T08:15:17+00:00,k3s-s2,Ready
2026-06-29T08:15:17+00:00,k3s-s3,Ready
2026-06-29T08:15:17+00:00,k3s-w1,NotReady
2026-06-29T08:15:17+00:00,k3s-w2,Ready
2026-06-29T08:15:18+00:00,k3s-s1,Ready
2026-06-29T08:15:18+00:00,k3s-s2,Ready
2026-06-29T08:15:18+00:00,k3s-s3,Ready
2026-06-29T08:15:18+00:00,k3s-w1,NotReady
2026-06-29T08:15:18+00:00,k3s-w2,Ready
2026-06-29T08:15:19+00:00,k3s-s1,Ready
2026-06-29T08:15:19+00:00,k3s-s2,Ready
2026-06-29T08:15:19+00:00,k3s-s3,Ready
2026-06-29T08:15:19+00:00,k3s-w1,NotReady
2026-06-29T08:15:19+00:00,k3s-w2,Ready
2026-06-29T08:15:20+00:00,k3s-s1,Ready
2026-06-29T08:15:20+00:00,k3s-s2,Ready
2026-06-29T08:15:20+00:00,k3s-s3,Ready
2026-06-29T08:15:20+00:00,k3s-w1,NotReady
2026-06-29T08:15:20+00:00,k3s-w2,Ready
2026-06-29T08:15:22+00:00,k3s-s1,Ready
2026-06-29T08:15:22+00:00,k3s-s2,Ready
2026-06-29T08:15:22+00:00,k3s-s3,Ready
2026-06-29T08:15:22+00:00,k3s-w1,NotReady
2026-06-29T08:15:22+00:00,k3s-w2,Ready
2026-06-29T08:15:23+00:00,k3s-s1,Ready
2026-06-29T08:15:23+00:00,k3s-s2,Ready
2026-06-29T08:15:23+00:00,k3s-s3,Ready
2026-06-29T08:15:23+00:00,k3s-w1,NotReady
2026-06-29T08:15:23+00:00,k3s-w2,Ready
2026-06-29T08:15:24+00:00,k3s-s1,Ready
2026-06-29T08:15:24+00:00,k3s-s2,Ready
2026-06-29T08:15:24+00:00,k3s-s3,Ready
2026-06-29T08:15:24+00:00,k3s-w1,NotReady
2026-06-29T08:15:24+00:00,k3s-w2,Ready
2026-06-29T08:15:25+00:00,k3s-s1,Ready
2026-06-29T08:15:25+00:00,k3s-s2,Ready
2026-06-29T08:15:25+00:00,k3s-s3,Ready
2026-06-29T08:15:25+00:00,k3s-w1,NotReady
2026-06-29T08:15:25+00:00,k3s-w2,Ready
2026-06-29T08:15:26+00:00,k3s-s1,Ready
2026-06-29T08:15:26+00:00,k3s-s2,Ready
2026-06-29T08:15:26+00:00,k3s-s3,Ready
2026-06-29T08:15:26+00:00,k3s-w1,NotReady
2026-06-29T08:15:26+00:00,k3s-w2,Ready
2026-06-29T08:15:27+00:00,k3s-s1,Ready
2026-06-29T08:15:27+00:00,k3s-s2,Ready
2026-06-29T08:15:27+00:00,k3s-s3,Ready
2026-06-29T08:15:27+00:00,k3s-w1,NotReady
2026-06-29T08:15:27+00:00,k3s-w2,Ready
2026-06-29T08:15:28+00:00,k3s-s1,Ready
2026-06-29T08:15:28+00:00,k3s-s2,Ready
2026-06-29T08:15:28+00:00,k3s-s3,Ready
2026-06-29T08:15:28+00:00,k3s-w1,NotReady
2026-06-29T08:15:28+00:00,k3s-w2,Ready
2026-06-29T08:15:29+00:00,k3s-s1,Ready
2026-06-29T08:15:29+00:00,k3s-s2,Ready
2026-06-29T08:15:29+00:00,k3s-s3,Ready
2026-06-29T08:15:29+00:00,k3s-w1,NotReady
2026-06-29T08:15:29+00:00,k3s-w2,Ready
2026-06-29T08:15:30+00:00,k3s-s1,Ready
2026-06-29T08:15:30+00:00,k3s-s2,Ready
2026-06-29T08:15:30+00:00,k3s-s3,Ready
2026-06-29T08:15:30+00:00,k3s-w1,NotReady
2026-06-29T08:15:30+00:00,k3s-w2,Ready
2026-06-29T08:15:31+00:00,k3s-s1,Ready
2026-06-29T08:15:31+00:00,k3s-s2,Ready
2026-06-29T08:15:31+00:00,k3s-s3,Ready
2026-06-29T08:15:31+00:00,k3s-w1,NotReady
2026-06-29T08:15:31+00:00,k3s-w2,Ready
2026-06-29T08:15:32+00:00,k3s-s1,Ready
2026-06-29T08:15:32+00:00,k3s-s2,Ready
2026-06-29T08:15:32+00:00,k3s-s3,Ready
2026-06-29T08:15:32+00:00,k3s-w1,NotReady
2026-06-29T08:15:32+00:00,k3s-w2,Ready
2026-06-29T08:15:33+00:00,k3s-s1,Ready
2026-06-29T08:15:33+00:00,k3s-s2,Ready
2026-06-29T08:15:33+00:00,k3s-s3,Ready
2026-06-29T08:15:33+00:00,k3s-w1,NotReady
2026-06-29T08:15:33+00:00,k3s-w2,Ready
2026-06-29T08:15:35+00:00,k3s-s1,Ready
2026-06-29T08:15:35+00:00,k3s-s2,Ready
2026-06-29T08:15:35+00:00,k3s-s3,Ready
2026-06-29T08:15:35+00:00,k3s-w1,NotReady
2026-06-29T08:15:35+00:00,k3s-w2,Ready
2026-06-29T08:15:36+00:00,k3s-s1,Ready
2026-06-29T08:15:36+00:00,k3s-s2,Ready
2026-06-29T08:15:36+00:00,k3s-s3,Ready
2026-06-29T08:15:36+00:00,k3s-w1,NotReady
2026-06-29T08:15:36+00:00,k3s-w2,Ready
2026-06-29T08:15:37+00:00,k3s-s1,Ready
2026-06-29T08:15:37+00:00,k3s-s2,Ready
2026-06-29T08:15:37+00:00,k3s-s3,Ready
2026-06-29T08:15:37+00:00,k3s-w1,NotReady
2026-06-29T08:15:37+00:00,k3s-w2,Ready
2026-06-29T08:15:38+00:00,k3s-s1,Ready
2026-06-29T08:15:38+00:00,k3s-s2,Ready
2026-06-29T08:15:38+00:00,k3s-s3,Ready
2026-06-29T08:15:38+00:00,k3s-w1,NotReady
2026-06-29T08:15:38+00:00,k3s-w2,Ready
2026-06-29T08:15:39+00:00,k3s-s1,Ready
2026-06-29T08:15:39+00:00,k3s-s2,Ready
2026-06-29T08:15:39+00:00,k3s-s3,Ready
2026-06-29T08:15:39+00:00,k3s-w1,NotReady
2026-06-29T08:15:39+00:00,k3s-w2,Ready
2026-06-29T08:15:40+00:00,k3s-s1,Ready
2026-06-29T08:15:40+00:00,k3s-s2,Ready
2026-06-29T08:15:40+00:00,k3s-s3,Ready
2026-06-29T08:15:40+00:00,k3s-w1,NotReady
2026-06-29T08:15:40+00:00,k3s-w2,Ready
2026-06-29T08:15:41+00:00,k3s-s1,Ready
2026-06-29T08:15:41+00:00,k3s-s2,Ready
2026-06-29T08:15:41+00:00,k3s-s3,Ready
2026-06-29T08:15:41+00:00,k3s-w1,NotReady
2026-06-29T08:15:41+00:00,k3s-w2,Ready
2026-06-29T08:15:42+00:00,k3s-s1,Ready
2026-06-29T08:15:42+00:00,k3s-s2,Ready
2026-06-29T08:15:42+00:00,k3s-s3,Ready
2026-06-29T08:15:42+00:00,k3s-w1,NotReady
2026-06-29T08:15:42+00:00,k3s-w2,Ready
2026-06-29T08:15:43+00:00,k3s-s1,Ready
2026-06-29T08:15:43+00:00,k3s-s2,Ready
2026-06-29T08:15:43+00:00,k3s-s3,Ready
2026-06-29T08:15:43+00:00,k3s-w1,NotReady
2026-06-29T08:15:43+00:00,k3s-w2,Ready
2026-06-29T08:15:44+00:00,k3s-s1,Ready
2026-06-29T08:15:44+00:00,k3s-s2,Ready
2026-06-29T08:15:44+00:00,k3s-s3,Ready
2026-06-29T08:15:44+00:00,k3s-w1,NotReady
2026-06-29T08:15:44+00:00,k3s-w2,Ready
2026-06-29T08:15:45+00:00,k3s-s1,Ready
2026-06-29T08:15:45+00:00,k3s-s2,Ready
2026-06-29T08:15:45+00:00,k3s-s3,Ready
2026-06-29T08:15:45+00:00,k3s-w1,NotReady
2026-06-29T08:15:45+00:00,k3s-w2,Ready
2026-06-29T08:15:46+00:00,k3s-s1,Ready
2026-06-29T08:15:46+00:00,k3s-s2,Ready
2026-06-29T08:15:46+00:00,k3s-s3,Ready
2026-06-29T08:15:46+00:00,k3s-w1,NotReady
2026-06-29T08:15:46+00:00,k3s-w2,Ready
2026-06-29T08:15:47+00:00,k3s-s1,Ready
2026-06-29T08:15:47+00:00,k3s-s2,Ready
2026-06-29T08:15:47+00:00,k3s-s3,Ready
2026-06-29T08:15:47+00:00,k3s-w1,NotReady
2026-06-29T08:15:47+00:00,k3s-w2,Ready
2026-06-29T08:15:49+00:00,k3s-s1,Ready
2026-06-29T08:15:49+00:00,k3s-s2,Ready
2026-06-29T08:15:49+00:00,k3s-s3,Ready
2026-06-29T08:15:49+00:00,k3s-w1,NotReady
2026-06-29T08:15:49+00:00,k3s-w2,Ready
2026-06-29T08:15:50+00:00,k3s-s1,Ready
2026-06-29T08:15:50+00:00,k3s-s2,Ready
2026-06-29T08:15:50+00:00,k3s-s3,Ready
2026-06-29T08:15:50+00:00,k3s-w1,NotReady
2026-06-29T08:15:50+00:00,k3s-w2,Ready
2026-06-29T08:15:51+00:00,k3s-s1,Ready
2026-06-29T08:15:51+00:00,k3s-s2,Ready
2026-06-29T08:15:51+00:00,k3s-s3,Ready
2026-06-29T08:15:51+00:00,k3s-w1,NotReady
2026-06-29T08:15:51+00:00,k3s-w2,Ready
2026-06-29T08:15:52+00:00,k3s-s1,Ready
2026-06-29T08:15:52+00:00,k3s-s2,Ready
2026-06-29T08:15:52+00:00,k3s-s3,Ready
2026-06-29T08:15:52+00:00,k3s-w1,NotReady
2026-06-29T08:15:52+00:00,k3s-w2,Ready
2026-06-29T08:15:53+00:00,k3s-s1,Ready
2026-06-29T08:15:53+00:00,k3s-s2,Ready
2026-06-29T08:15:53+00:00,k3s-s3,Ready
2026-06-29T08:15:53+00:00,k3s-w1,NotReady
2026-06-29T08:15:53+00:00,k3s-w2,Ready
2026-06-29T08:15:54+00:00,k3s-s1,Ready
2026-06-29T08:15:54+00:00,k3s-s2,Ready
2026-06-29T08:15:54+00:00,k3s-s3,Ready
2026-06-29T08:15:54+00:00,k3s-w1,NotReady
2026-06-29T08:15:54+00:00,k3s-w2,Ready
2026-06-29T08:15:55+00:00,k3s-s1,Ready
2026-06-29T08:15:55+00:00,k3s-s2,Ready
2026-06-29T08:15:55+00:00,k3s-s3,Ready
2026-06-29T08:15:55+00:00,k3s-w1,NotReady
2026-06-29T08:15:55+00:00,k3s-w2,Ready
2026-06-29T08:15:56+00:00,k3s-s1,Ready
2026-06-29T08:15:56+00:00,k3s-s2,Ready
2026-06-29T08:15:56+00:00,k3s-s3,Ready
2026-06-29T08:15:56+00:00,k3s-w1,NotReady
2026-06-29T08:15:56+00:00,k3s-w2,Ready
2026-06-29T08:15:57+00:00,k3s-s1,Ready
2026-06-29T08:15:57+00:00,k3s-s2,Ready
2026-06-29T08:15:57+00:00,k3s-s3,Ready
2026-06-29T08:15:57+00:00,k3s-w1,NotReady
2026-06-29T08:15:57+00:00,k3s-w2,Ready
2026-06-29T08:15:58+00:00,k3s-s1,Ready
2026-06-29T08:15:58+00:00,k3s-s2,Ready
2026-06-29T08:15:58+00:00,k3s-s3,Ready
2026-06-29T08:15:58+00:00,k3s-w1,NotReady
2026-06-29T08:15:58+00:00,k3s-w2,Ready
2026-06-29T08:15:59+00:00,k3s-s1,Ready
2026-06-29T08:15:59+00:00,k3s-s2,Ready
2026-06-29T08:15:59+00:00,k3s-s3,Ready
2026-06-29T08:15:59+00:00,k3s-w1,NotReady
2026-06-29T08:15:59+00:00,k3s-w2,Ready
2026-06-29T08:16:00+00:00,k3s-s1,Ready
2026-06-29T08:16:00+00:00,k3s-s2,Ready
2026-06-29T08:16:00+00:00,k3s-s3,Ready
2026-06-29T08:16:00+00:00,k3s-w1,NotReady
2026-06-29T08:16:00+00:00,k3s-w2,Ready
2026-06-29T08:16:01+00:00,k3s-s1,Ready
2026-06-29T08:16:01+00:00,k3s-s2,Ready
2026-06-29T08:16:01+00:00,k3s-s3,Ready
2026-06-29T08:16:01+00:00,k3s-w1,NotReady
2026-06-29T08:16:01+00:00,k3s-w2,Ready
2026-06-29T08:16:02+00:00,k3s-s1,Ready
2026-06-29T08:16:02+00:00,k3s-s2,Ready
2026-06-29T08:16:02+00:00,k3s-s3,Ready
2026-06-29T08:16:02+00:00,k3s-w1,NotReady
2026-06-29T08:16:02+00:00,k3s-w2,Ready
2026-06-29T08:16:03+00:00,k3s-s1,Ready
2026-06-29T08:16:03+00:00,k3s-s2,Ready
2026-06-29T08:16:03+00:00,k3s-s3,Ready
2026-06-29T08:16:03+00:00,k3s-w1,NotReady
2026-06-29T08:16:03+00:00,k3s-w2,Ready
2026-06-29T08:16:04+00:00,k3s-s1,Ready
2026-06-29T08:16:04+00:00,k3s-s2,Ready
2026-06-29T08:16:04+00:00,k3s-s3,Ready
2026-06-29T08:16:04+00:00,k3s-w1,NotReady
2026-06-29T08:16:04+00:00,k3s-w2,Ready
2026-06-29T08:16:06+00:00,k3s-s1,Ready
2026-06-29T08:16:06+00:00,k3s-s2,Ready
2026-06-29T08:16:06+00:00,k3s-s3,Ready
2026-06-29T08:16:06+00:00,k3s-w1,NotReady
2026-06-29T08:16:06+00:00,k3s-w2,Ready
2026-06-29T08:16:07+00:00,k3s-s1,Ready
2026-06-29T08:16:07+00:00,k3s-s2,Ready
2026-06-29T08:16:07+00:00,k3s-s3,Ready
2026-06-29T08:16:07+00:00,k3s-w1,Ready
2026-06-29T08:16:07+00:00,k3s-w2,Ready
2026-06-29T08:16:08+00:00,k3s-s1,Ready
2026-06-29T08:16:08+00:00,k3s-s2,Ready
2026-06-29T08:16:08+00:00,k3s-s3,Ready
2026-06-29T08:16:08+00:00,k3s-w1,Ready
2026-06-29T08:16:08+00:00,k3s-w2,Ready
2026-06-29T08:16:09+00:00,k3s-s1,Ready
2026-06-29T08:16:09+00:00,k3s-s2,Ready
2026-06-29T08:16:09+00:00,k3s-s3,Ready
2026-06-29T08:16:09+00:00,k3s-w1,Ready
2026-06-29T08:16:09+00:00,k3s-w2,Ready
2026-06-29T08:16:10+00:00,k3s-s1,Ready
2026-06-29T08:16:10+00:00,k3s-s2,Ready
2026-06-29T08:16:10+00:00,k3s-s3,Ready
2026-06-29T08:16:10+00:00,k3s-w1,Ready
2026-06-29T08:16:10+00:00,k3s-w2,Ready
2026-06-29T08:16:11+00:00,k3s-s1,Ready
2026-06-29T08:16:11+00:00,k3s-s2,Ready
2026-06-29T08:16:11+00:00,k3s-s3,Ready
2026-06-29T08:16:11+00:00,k3s-w1,Ready
2026-06-29T08:16:11+00:00,k3s-w2,Ready
2026-06-29T08:16:12+00:00,k3s-s1,Ready
2026-06-29T08:16:12+00:00,k3s-s2,Ready
2026-06-29T08:16:12+00:00,k3s-s3,Ready
2026-06-29T08:16:12+00:00,k3s-w1,Ready
2026-06-29T08:16:12+00:00,k3s-w2,Ready
2026-06-29T08:16:13+00:00,k3s-s1,Ready
2026-06-29T08:16:13+00:00,k3s-s2,Ready
2026-06-29T08:16:13+00:00,k3s-s3,Ready
2026-06-29T08:16:13+00:00,k3s-w1,Ready
2026-06-29T08:16:13+00:00,k3s-w2,Ready
2026-06-29T08:16:14+00:00,k3s-s1,Ready
2026-06-29T08:16:14+00:00,k3s-s2,Ready
2026-06-29T08:16:14+00:00,k3s-s3,Ready
2026-06-29T08:16:14+00:00,k3s-w1,Ready
2026-06-29T08:16:14+00:00,k3s-w2,Ready
2026-06-29T08:16:15+00:00,k3s-s1,Ready
2026-06-29T08:16:15+00:00,k3s-s2,Ready
2026-06-29T08:16:15+00:00,k3s-s3,Ready
2026-06-29T08:16:15+00:00,k3s-w1,Ready
2026-06-29T08:16:15+00:00,k3s-w2,Ready
2026-06-29T08:16:16+00:00,k3s-s1,Ready
2026-06-29T08:16:16+00:00,k3s-s2,Ready
2026-06-29T08:16:16+00:00,k3s-s3,Ready
2026-06-29T08:16:16+00:00,k3s-w1,Ready
2026-06-29T08:16:16+00:00,k3s-w2,Ready
2026-06-29T08:16:17+00:00,k3s-s1,Ready
2026-06-29T08:16:17+00:00,k3s-s2,Ready
2026-06-29T08:16:17+00:00,k3s-s3,Ready
2026-06-29T08:16:17+00:00,k3s-w1,Ready
2026-06-29T08:16:17+00:00,k3s-w2,Ready
2026-06-29T08:16:19+00:00,k3s-s1,Ready
2026-06-29T08:16:19+00:00,k3s-s2,Ready
2026-06-29T08:16:19+00:00,k3s-s3,Ready
2026-06-29T08:16:19+00:00,k3s-w1,Ready
2026-06-29T08:16:19+00:00,k3s-w2,Ready
2026-06-29T08:16:20+00:00,k3s-s1,Ready
2026-06-29T08:16:20+00:00,k3s-s2,Ready
2026-06-29T08:16:20+00:00,k3s-s3,Ready
2026-06-29T08:16:20+00:00,k3s-w1,Ready
2026-06-29T08:16:20+00:00,k3s-w2,Ready
2026-06-29T08:16:21+00:00,k3s-s1,Ready
2026-06-29T08:16:21+00:00,k3s-s2,Ready
2026-06-29T08:16:21+00:00,k3s-s3,Ready
2026-06-29T08:16:21+00:00,k3s-w1,Ready
2026-06-29T08:16:21+00:00,k3s-w2,Ready
2026-06-29T08:16:22+00:00,k3s-s1,Ready
2026-06-29T08:16:22+00:00,k3s-s2,Ready
2026-06-29T08:16:22+00:00,k3s-s3,Ready
2026-06-29T08:16:22+00:00,k3s-w1,Ready
2026-06-29T08:16:22+00:00,k3s-w2,Ready
2026-06-29T08:16:23+00:00,k3s-s1,Ready
2026-06-29T08:16:23+00:00,k3s-s2,Ready
2026-06-29T08:16:23+00:00,k3s-s3,Ready
2026-06-29T08:16:23+00:00,k3s-w1,Ready
2026-06-29T08:16:23+00:00,k3s-w2,Ready
2026-06-29T08:16:24+00:00,k3s-s1,Ready
2026-06-29T08:16:24+00:00,k3s-s2,Ready
2026-06-29T08:16:24+00:00,k3s-s3,Ready
2026-06-29T08:16:24+00:00,k3s-w1,Ready
2026-06-29T08:16:24+00:00,k3s-w2,Ready
